2020-04-17 300234.SZ 0.023149560878404613 -0.01572423191107627 -2 0 -45.644348452123836
2020-04-16 300242.SZ 0.0025291561620688443 -0.01788091673178999 -7 6 8.624229979466119
2020-04-15 300485.SZ 0.009561551169800122 -0.004875007248767125 -11 3 42.89156626506024
2020-04-14 002959.SZ 0.0008607104448836064 -0.011671473418446932 -10 2 29.628742514970053
2020-04-10 002607.SZ 0.0015555964161502846 0.012106563251134147 -8 3 6.804478897502161
2020-04-10 600216.SS 0.003916513875508447 -0.011544097429368674 -9 2 4.587155963302736
2020-04-09 002560.SZ 0.026901719774460976 -0.012922398036078699 -12 11 14.374225526641885
2020-04-07 002607.SZ -0.002973190570902372 -0.030782217509745014 -11 3 9.25110132158591
2020-04-07 600896.SS 0.013005023341583327 -0.012000246467429724 -3 3 5.415860735009677
2020-04-03 002596.SZ 0.01194785386015304 -0.021526754866258165 -4 0 1.68067226890757
2020-04-02 002498.SZ 0.011333561773654521 -0.0027295892934393173 -12 10 16.57894736842105
2020-04-01 002028.SZ -0.0016693321982188683 -0.004788144304349843 -11 3 12.704471101417678
2020-03-31 002066.SZ 0.008161145146658187 -0.0024775235590874865 -12 6 8.35351089588377
2020-03-30 600126.SS 0.004272990687862109 -0.010286909126960867 -11 3 37.79160186625194
2020-03-27 000876.SZ 0.01131725611047282 -0.006608226144411106 -5 2 22.72727272727272
2020-03-26 002157.SZ 0.010263042701361523 0.0007386830585619656 -9 3 23.709050527484727
2020-03-25 300633.SZ 0.0074510710266040905 -0.0067878118887775216 -2 0 2.3013304566702644
2020-03-24 600510.SS 0.004437103183762602 -0.01430447531769318 -12 0 3.6674816625916957
2020-03-20 002208.SZ 0.005737794266593727 -0.007795221958997973 -5 5 4.810495626822158
2020-03-20 002593.SZ -0.00047933444405390166 -0.03109876304712121 -4 3 8.031088082901556
2020-03-19 300394.SZ 0.008278835680005973 -0.019016613886701558 -2 0 0.0
2020-03-18 002335.SZ 0.007746426426011761 -0.015772795336711932 -4 2 15.996578272027385
2020-03-17 002028.SZ 0.029780728150441468 -0.009563829166855347 -3 3 8.61690450054885
2020-03-16 002584.SZ 0.009790241387956606 -0.01572106459088055 -4 3 14.601769911504414
2020-03-13 002023.SZ 0.028251454014337107 -0.017037553222907512 -3 2 6.45879732739421
2020-03-12 300598.SZ 0.03601046466733567 -0.030981866330812662 -3 2 22.94939221901013
2020-03-11 603179.SS 0.005882239231423903 -0.027982150824873434 -3 3 4.7339757017176325
2020-03-10 300638.SZ 0.01308769371117576 -0.019732866604692586 -2 0 -4.381572358537807
2020-03-09 300436.SZ 0.006393467783640082 0.01128228716548576 -2 0 -0.5030447445062346
2020-03-05 300536.SZ 0.013007532719774029 -0.006519935574164135 -3 3 4.488778054862858
2020-03-05 300771.SZ 0.024393980363441974 0.005636361296643944 -12 0 0.7671957671957838
2020-03-04 603882.SS 0.008703598117597118 -0.01849454686136722 -3 2 10.127028934368386
2020-03-03 688023.SS 0.02759406520625832 -0.011216366094828527 -11 0 -2.6224066390041467
2020-03-02 002846.SZ 0.006532237308404455 -0.012043485268022965 -7 2 10.933940774487482
2020-02-26 000698.SZ 0.017590831335798415 0.00419776804633444 -8 6 17.241379310344833
2020-02-25 600215.SS 0.018563734168137523 0.0010932926939928157 -2 0 -2.4266936299292237
2020-02-24 600400.SS 0.019311576833433264 0.0025711363522586024 -10 2 18.35748792270533
2020-02-24 600833.SS 0.007004068628571945 -0.0070149624488788035 -2 0 1.4312977099236674
2020-02-21 300086.SZ 0.011328901898287053 -0.007067504450075756 -11 2 13.986013986013985
2020-02-20 300039.SZ 0.016423071529047758 0.002471632122529513 -12 2 4.79452054794521
2020-02-19 603069.SS 0.004564049160945251 -0.010870870186248445 -2 2 12.996688741721856
2020-02-18 603069.SS 0.0010001616181314333 -0.012945798156294526 -3 2 13.090306545153274
2020-02-17 603138.SS 0.01873129523620413 -0.018602875327034085 -5 2 16.962905718701705
2020-02-13 688366.SS 0.00920122623643063 0.007515285675446725 -4 4 11.032647630744039
2020-02-13 603016.SS -0.001629816282121447 0.011015586727496297 -12 3 15.808823529411754
2020-02-12 600882.SS 0.010903136474488128 0.0024501802149630102 -7 5 7.718120805369143
2020-02-11 600882.SS 0.011892308096551028 -0.007152436078636722 -8 6 9.994288977727011
2020-02-10 603799.SS 0.013604516521968282 -0.007223340113102349 -3 2 25.66466552315609
2020-02-06 002328.SZ 0.011366818550685196 -0.018830314057603346 -11 2 100.8791208791209
2020-02-06 300024.SZ 0.0025632907975393377 -0.04875074621785915 -9 2 15.792922673656632
2020-02-05 002435.SZ 0.0023068913200691393 -0.08917197393472419 -2 2 21.1764705882353
2020-02-04 600885.SS 0.0025723524529883395 -0.01896206722572117 -10 10 5.020576131687237
2020-02-03 300654.SZ 0.00248907141755513 -0.01581738159068788 -8 2 103.30508474576267
2020-01-23 603348.SS 0.01906181122012462 -0.01350245329592511 -12 3 11.406844106463874
2020-01-22 002652.SZ -0.002184543204659928 -0.022044917776322472 -12 0 -7.493540051679587
2020-01-21 603659.SS 0.012004877283313752 -0.031232809737009974 -11 2 27.038525171354284
2020-01-20 002157.SZ -0.00036872114051899636 -0.014275949427251675 -2 0 -3.922829581993577
2020-01-17 601878.SS 0.0037902976892921596 0.00022829554814524894 -2 2 4.50367647058822
2020-01-16 300548.SZ 0.014117471979016633 -0.006397602804907215 -9 5 25.886972374141067
2020-01-14 300328.SZ 0.01041049143385218 -0.009140131690620888 -6 6 4.8638132295719965
